art_title,imgfile,linkurl
-a-moment-to-remember-don-mattingly-iconic-images-art-gallery-david-pucciarelli,236b407521096013c9f07a31531eb46061977365.jpg,https://fineartamerica.com/featured/-a-moment-to-remember-don-mattingly-iconic-images-art-gallery-david-pucciarelli.html?product=art-print
-a-perpetual-morning-glory-robin-moline,738ccdb924bf24e56cebec6371fa613867d00470.jpg,https://fineartamerica.com/featured/-a-perpetual-morning-glory-robin-moline.html?product=art-print
-a-storm-in-the-rocky-mountains-mt-rosalie-albert-bierstadt,8019133c4eb001521a64dd9b65617ede4ec62ae6.jpg,https://fineartamerica.com/featured/-a-storm-in-the-rocky-mountains-mt-rosalie-albert-bierstadt.html?product=art-print
-an-apple-elizabeth-jane-hill,697ef74f5207030effe6dad3a5ac7608220ff691.jpg,https://fineartamerica.com/featured/-an-apple-elizabeth-jane-hill.html?product=art-print
-birch-trees-carl-larsson,afcb8f3ff5f7ea951d6bd047cbdf09a54cbfc672.jpg,https://fineartamerica.com/featured/-birch-trees-carl-larsson.html?product=art-print
-brown-and-grey-naxart,9542201e09320dddf6a365160ac6eb629188c34c.jpg,https://fineartamerica.com/featured/-brown-and-grey-naxart.html?product=art-print
-connection-leon-zernitsky,159c387413691997e573f4d70c52b25a7b4decf3.jpg,https://fineartamerica.com/featured/-connection-leon-zernitsky.html?product=art-print
-contemporary-jesus-painting-chalice-of-life-jane-small,cbfb5c14d46e17e81edd6abdaae22b0aa83ed2ac.jpg,https://fineartamerica.com/featured/-contemporary-jesus-painting-chalice-of-life-jane-small.html?product=art-print
-daffodils-and-narcissus-joan-thewsey,3cf11905fdaf741434ab657d8eba095972477e06.jpg,https://fineartamerica.com/featured/-daffodils-and-narcissus-joan-thewsey.html?product=art-print
-denver-pop-art-map-2-irina-march,b4fe26639a19d21a3f28c626b3b6952a0ef74a1e.jpg,https://fineartamerica.com/featured/-denver-pop-art-map-2-irina-march.html?product=art-print
-following-helen-white,59f34d477c8220bfe1f23d6852211e0930a83a0c.jpg,https://fineartamerica.com/featured/-following-helen-white.html?product=art-print
-foxes-waiting-for-the-prey--carl-friedrich-deiker,75019fe4edf1e2f58ace3ad392f5af903ebabf8d.jpg,https://fineartamerica.com/featured/-foxes-waiting-for-the-prey--carl-friedrich-deiker.html?product=art-print
-golden-aspen-trees-in-snow-gary-kim,25d74496c21705fac53f3a5453ee49e87a9a029a.jpg,https://fineartamerica.com/featured/-golden-aspen-trees-in-snow-gary-kim.html?product=art-print
-hartley-bluffs-graham-gercken,abd96d17a3a5f93f47df71ce3d35bc365eacb9f5.jpg,https://fineartamerica.com/featured/-hartley-bluffs-graham-gercken.html?product=art-print
-head-of-proserpine-dante-charles-gabriel-rossetti,1619401869e5e003fb8ddca1766fc7391f7400c1.jpg,https://fineartamerica.com/featured/-head-of-proserpine-dante-charles-gabriel-rossetti.html?product=art-print
